institution,rank_2025
Illinois,33
North Carolina,27
UMBC,144
UC Santa Barbara,39
Cal St Long Beach,109
MIT,2
Cal St Fullerton,136
UCLA,15
Maryland,44
UMass Amherst,58
UC Santa Cruz,84
UAB,136
Caltech,6
UC San Diego,29
UC Riverside,76
NJIT,84
UC Berkeley,17
Washington Univ,21
USC,27
RIT,91
Michigan Tech,148
RPI,70
Fla International,98
Illinois Tech,105
VCU,136
UC Irvine,33
Georgia Tech,33
UW Madison,39
Case Western,51
NC State,58
UC Merced,58
Stevens Inst Tech,76
WPI,86
UC Davis,33
Illinois Chicago,80
Colorado,98
UT Austin,30
Penn State,63
SMU,91
UT Dallas,109
UCF,121
George Washington,63
South Carolina,121
William & Mary,54
Loyola Marymount,91
USF,91
New Hampshire,109
San Francisco,109
Thomas Jefferson,136
Penn,10
Carnegie Mellon,21
TCU,105
San Diego St,109
Michigan St,63
Connecticut,70
Rutgers Newark,80
Rutgers Camden,98
Loyola Chicago,132
Colorado St,148
Johns Hopkins,6
Notre Dame,18
Washington,46
Texas A&M,51
Florida St,54
Pitt,70
Col School of Mines,76
Brigham Young,109
Arizona St,121
CUNY City College,121
James Madison,148
Northwestern,6
Rochester,44
Northeastern,54
Minnesota,54
Tennessee,109
San Diego,109
George Mason,109
Oregon St,144
Michigan,21
Virginia,24
Wake Forest,46
Stony Brook,58
Santa Clara,63
Delaware,86
Saint Louis,105
Missouri,109
Oklahoma,132
Chicago,11
Vanderbilt,18
Georgetown,24
Florida,30
Ohio St,41
Georgia,46
Binghamton,73
Univ at Buffalo,76
Pepperdine,80
Arizona,109
Iowa St,121
Vermont,121
Houston,144
Princeton,1
Villanova,58
Marquette,86
Oregon,109
Denver,121
Creighton,121
Univ at Albany,121
Fairfield,132
Dayton,136
Kansas,152
Stanford,4
Columbia,13
NYU,30
Brandeis,63
U of Miami,63
Syracuse,73
American,91
Clarkson,152
Harvard,3
Cornell,11
Rutgers,41
Indiana,73
Clemson,80
Fordham,91
Iowa,98
Yeshiva,98
Gonzaga,98
Chapman,121
Utah,136
Dartmouth,15
Boston Univ,41
Purdue,46
Lehigh,46
Tulane,63
Drexel,86
Howard,86
Baylor,91
Temple,98
Auburn,105
Brown,13
Emory,24
Tufts,37
Clark,132
Miami Oh,136
Yale,5
Duke,6
Rice,18
Elon,121
Boston College,37
Virginia Tech,51
