institution,rank_2025,primary_query
Princeton,1,Princeton University
MIT,2,Massachusetts Institute of Technology
Harvard,3,Harvard University
Stanford,4,Stanford University
Yale,5,Yale University
Caltech,6,California Institute of Technology
Duke,6,Duke University
Johns Hopkins,6,Johns Hopkins University
Northwestern,6,Northwestern University
Penn,10,University of Pennsylvania
Chicago,11,University of Chicago
Cornell,11,Cornell University
Brown,13,Brown University
Columbia,13,Columbia University
UCLA,15,University of California Los Angeles
Dartmouth,15,Dartmouth College
UC Berkeley,17,University of California Berkeley
Rice,18,Rice University
Vanderbilt,18,Vanderbilt University
Notre Dame,18,University of Notre Dame
Michigan,21,University of Michigan
Washington Univ,21,Washington University in St. Louis
Carnegie Mellon,21,Carnegie Mellon University
Georgetown,24,Georgetown University
Emory,24,Emory University
Virginia,24,University of Virginia
North Carolina,27,University of North Carolina Chapel Hill
USC,27,University of Southern California
UC San Diego,29,University of California San Diego
Florida,30,University of Florida
UT Austin,30,University of Texas at Austin
NYU,30,New York University
UC Davis,33,University of California Davis
UC Irvine,33,University of California Irvine
Georgia Tech,33,Georgia Institute of Technology
Illinois,33,University of Illinois Urbana Champaign
Boston College,37,Boston College
Tufts,37,Tufts University
UC Santa Barbara,39,University of California Santa Barbara
UW Madison,39,University of Wisconsin Madison
Rutgers,41,Rutgers University
Boston Univ,41,Boston University
Ohio St,41,Ohio State University
Maryland,44,University of Maryland
Rochester,44,University of Rochester
Washington,46,University of Washington
Purdue,46,Purdue University
Wake Forest,46,Wake Forest University
Georgia,46,University of Georgia
Lehigh,46,Lehigh University
Virginia Tech,51,Virginia Tech
Texas A&M,51,Texas A&M University
Case Western,51,Case Western Reserve University
William & Mary,54,College of William and Mary
Northeastern,54,Northeastern University
Florida St,54,Florida State University
Minnesota,54,University of Minnesota
Stony Brook,58,Stony Brook University
NC State,58,North Carolina State University
UMass Amherst,58,University of Massachusetts Amherst
UC Merced,58,University of California Merced
Villanova,58,Villanova University
Brandeis,63,Brandeis University
Penn State,63,Pennsylvania State University
Michigan St,63,Michigan State University
U of Miami,63,University of Miami
George Washington,63,George Washington University
Tulane,63,Tulane University
Santa Clara,63,Santa Clara University
RPI,70,Rensselaer Polytechnic Institute
Connecticut,70,University of Connecticut
Pitt,70,University of Pittsburgh
Indiana,73,Indiana University
Syracuse,73,Syracuse University
Binghamton,73,Binghamton University
Stevens Inst Tech,76,Stevens Institute of Technology
UC Riverside,76,University of California Riverside
Col School of Mines,76,Colorado School of Mines
Univ at Buffalo,76,University at Buffalo
Clemson,80,Clemson University
Pepperdine,80,Pepperdine University
Rutgers Newark,80,Rutgers University Newark
Illinois Chicago,80,University of Illinois Chicago
UC Santa Cruz,84,University of California Santa Cruz
NJIT,84,New Jersey Institute of Technology
Delaware,86,University of Delaware
WPI,86,Worcester Polytechnic Institute
Marquette,86,Marquette University
Drexel,86,Drexel University
Howard,86,Howard University
SMU,91,Southern Methodist University
Fordham,91,Fordham University
Baylor,91,Baylor University
American,91,American University
Loyola Marymount,91,Loyola Marymount University
RIT,91,Rochester Institute of Technology
USF,91,University of South Florida
Iowa,98,University of Iowa
Yeshiva,98,Yeshiva University
Colorado,98,University of Colorado Boulder
Fla International,98,Florida International University
Gonzaga,98,Gonzaga University
Rutgers Camden,98,Rutgers University Camden
Temple,98,Temple University
Auburn,105,Auburn University
TCU,105,Texas Christian University
Illinois Tech,105,Illinois Institute of Technology
Saint Louis,105,Saint Louis University
Tennessee,109,University of Tennessee
San Diego,109,University of San Diego
Oregon,109,University of Oregon
Brigham Young,109,Brigham Young University
Arizona,109,University of Arizona
Missouri,109,University of Missouri
New Hampshire,109,University of New Hampshire
Cal St Long Beach,109,California State University Long Beach
George Mason,109,George Mason University
San Diego St,109,San Diego State University
San Francisco,109,University of San Francisco
UT Dallas,109,University of Texas at Dallas
Arizona St,121,Arizona State University
Iowa St,121,Iowa State University
Denver,121,University of Denver
South Carolina,121,University of South Carolina
Vermont,121,University of Vermont
Chapman,121,Chapman University
Creighton,121,Creighton University
CUNY City College,121,City College of New York
Elon,121,Elon University
Univ at Albany,121,University at Albany
UCF,121,University of Central Florida
Oklahoma,132,University of Oklahoma
Clark,132,Clark University
Loyola Chicago,132,Loyola University Chicago
Fairfield,132,Fairfield University
Miami Oh,136,Miami University
Dayton,136,University of Dayton
Cal St Fullerton,136,California State University Fullerton
Thomas Jefferson,136,Thomas Jefferson University
UAB,136,University of Alabama at Birmingham
Utah,136,University of Utah
VCU,136,Virginia Commonwealth University
Oregon St,144,Oregon State University
Houston,144,University of Houston
UMBC,144,University of Maryland Baltimore County
Michigan Tech,148,Michigan Technological University
Colorado St,148,Colorado State University
James Madison,148,James Madison University
Kansas,152,University of Kansas
Clarkson,152,Clarkson University
