institution,rank_2025
Princeton,1
MIT,2
Harvard,3
Stanford,4
Yale,5
Caltech,6
Johns Hopkins,6
Northwestern,6
Duke,6
Penn,10
Chicago,11
Cornell,11
Columbia,13
Brown,13
UCLA,15
Dartmouth,15
UC Berkeley,17
Notre Dame,18
Vanderbilt,18
Rice,18
Washington Univ,21
Carnegie Mellon,21
Michigan,21
Virginia,24
Georgetown,24
Emory,24
North Carolina,27
USC,27
UC San Diego,29
UT Austin,30
Florida,30
NYU,30
Illinois,33
UC Irvine,33
Georgia Tech,33
UC Davis,33
Tufts,37
Boston College,37
UC Santa Barbara,39
UW Madison,39
Ohio St,41
Rutgers,41
Boston Univ,41
Maryland,44
Rochester,44
Washington,46
Wake Forest,46
Georgia,46
Purdue,46
Lehigh,46
Case Western,51
Texas A&M,51
Virginia Tech,51
William & Mary,54
Florida St,54
Northeastern,54
Minnesota,54
UMass Amherst,58
NC State,58
UC Merced,58
Stony Brook,58
Villanova,58
Penn State,63
George Washington,63
Michigan St,63
Santa Clara,63
Brandeis,63
U of Miami,63
Tulane,63
RPI,70
Connecticut,70
Pitt,70
Binghamton,73
Syracuse,73
Indiana,73
UC Riverside,76
Stevens Inst Tech,76
Col School of Mines,76
Univ at Buffalo,76
Illinois Chicago,80
Rutgers Newark,80
Pepperdine,80
Clemson,80
UC Santa Cruz,84
NJIT,84
WPI,86
Delaware,86
Marquette,86
Drexel,86
Howard,86
RIT,91
SMU,91
Loyola Marymount,91
USF,91
American,91
Fordham,91
Baylor,91
Fla International,98
Colorado,98
Rutgers Camden,98
Iowa,98
Yeshiva,98
Gonzaga,98
Temple,98
Illinois Tech,105
TCU,105
Saint Louis,105
Auburn,105
Cal St Long Beach,109
UT Dallas,109
New Hampshire,109
San Francisco,109
San Diego St,109
Brigham Young,109
Tennessee,109
San Diego,109
George Mason,109
Missouri,109
Arizona,109
Oregon,109
UCF,121
South Carolina,121
Arizona St,121
CUNY City College,121
Iowa St,121
Vermont,121
Denver,121
Creighton,121
Univ at Albany,121
Chapman,121
Elon,121
Loyola Chicago,132
Oklahoma,132
Fairfield,132
Clark,132
Cal St Fullerton,136
UAB,136
VCU,136
Thomas Jefferson,136
Dayton,136
Utah,136
Miami Oh,136
UMBC,144
Oregon St,144
Houston,144
Michigan Tech,148
Colorado St,148
James Madison,148
Kansas,152
Clarkson,152
