institution,rank_2025,cycle,party,total
Harvard,3,2000,DEM,40395.0
Harvard,3,2000,REP,2000.0
Harvard,3,2002,DEM,16800.0
Harvard,3,2002,REP,1050.0
Harvard,3,2004,DEM,188507.5
Harvard,3,2004,REP,6025.0
Harvard,3,2006,DEM,176237.7
Harvard,3,2006,REP,15786.0
Harvard,3,2008,DEM,408146.10000000003
Harvard,3,2008,REP,10150.0
Harvard,3,2010,DEM,335896.21
Harvard,3,2010,REP,2427.0
Harvard,3,2012,DEM,841533.49
Harvard,3,2012,REP,129435.0
Harvard,3,2014,DEM,418009.5
Harvard,3,2014,REP,25685.0
Harvard,3,2016,DEM,609404.9199999999
Harvard,3,2016,REP,8334.0
Harvard,3,2018,DEM,564996.33
Harvard,3,2018,REP,30650.5
Harvard,3,2020,DEM,1316096.12
Harvard,3,2020,REP,11736.5
Harvard,3,2022,DEM,668604.35
Harvard,3,2022,REP,8125.0
Harvard,3,2024,DEM,1063851.1300000001
Harvard,3,2024,REP,61724.7
Harvard,3,2026,DEM,393612.19
Harvard,3,2026,REP,17510.28
MIT,2,2000,DEM,76749.0
MIT,2,2000,REP,53415.0
MIT,2,2002,DEM,51903.0
MIT,2,2002,REP,57405.0
MIT,2,2004,DEM,434760.29
MIT,2,2004,REP,123081.0
MIT,2,2006,DEM,206325.5
MIT,2,2006,REP,157882.0
MIT,2,2008,DEM,266829.22
MIT,2,2008,REP,297834.15
MIT,2,2010,DEM,275584.27
MIT,2,2010,REP,100784.5
MIT,2,2012,DEM,609448.47
MIT,2,2012,REP,239542.82
MIT,2,2014,DEM,329274.4
MIT,2,2014,REP,139525.54
MIT,2,2016,DEM,640233.35
MIT,2,2016,REP,208032.24
MIT,2,2018,DEM,576025.59
MIT,2,2018,REP,263247.08
MIT,2,2020,DEM,1442250.64
MIT,2,2020,REP,478889.2
MIT,2,2022,DEM,990528.02
MIT,2,2022,REP,247233.48
MIT,2,2024,DEM,1217246.65
MIT,2,2024,REP,433707.4
MIT,2,2026,DEM,410069.87
MIT,2,2026,REP,228533.41
Princeton,1,2000,DEM,6128.0
Princeton,1,2000,REP,15945.0
Princeton,1,2002,DEM,1656.0
Princeton,1,2002,REP,2750.0
Princeton,1,2004,DEM,148685.95
Princeton,1,2004,REP,7384.0
Princeton,1,2006,DEM,42429.85
Princeton,1,2006,REP,6300.0
Princeton,1,2008,DEM,105946.27
Princeton,1,2008,REP,11250.0
Princeton,1,2010,DEM,101424.0
Princeton,1,2010,REP,13100.0
Princeton,1,2012,DEM,113506.79
Princeton,1,2012,REP,4950.0
Princeton,1,2014,DEM,147488.26
Princeton,1,2014,REP,12400.0
Princeton,1,2016,DEM,198404.52
Princeton,1,2016,REP,4905.0
Princeton,1,2018,DEM,215062.57
Princeton,1,2018,REP,6630.0
Princeton,1,2020,DEM,386734.56
Princeton,1,2020,REP,4171.0
Princeton,1,2022,DEM,208072.13
Princeton,1,2022,REP,3547.5
Princeton,1,2024,DEM,339406.5
Princeton,1,2024,REP,9908.89
Princeton,1,2026,DEM,91694.1
Princeton,1,2026,REP,253.04
Stanford,4,2000,DEM,68668.0
Stanford,4,2000,REP,3545.0
Stanford,4,2002,DEM,19530.0
Stanford,4,2002,REP,12831.0
Stanford,4,2004,DEM,225094.0
Stanford,4,2004,REP,7505.0
Stanford,4,2006,DEM,107536.0
Stanford,4,2006,REP,8340.0
Stanford,4,2008,DEM,311968.12
Stanford,4,2008,REP,108751.0
Stanford,4,2010,DEM,419937.38
Stanford,4,2010,REP,19563.0
Stanford,4,2012,DEM,681416.37
Stanford,4,2012,REP,135483.0
Stanford,4,2014,DEM,555508.08
Stanford,4,2014,REP,73018.0
Stanford,4,2016,DEM,800658.25
Stanford,4,2016,REP,64432.16
Stanford,4,2018,DEM,940732.1599999999
Stanford,4,2018,REP,9081.55
Stanford,4,2020,DEM,2215285.17
Stanford,4,2020,REP,60592.9
Stanford,4,2022,DEM,1215420.82
Stanford,4,2022,REP,38448.5
Stanford,4,2024,DEM,1265317.06
Stanford,4,2024,REP,45513.46
Stanford,4,2026,DEM,451284.91000000003
Stanford,4,2026,REP,20845.77
Yale,5,2000,DEM,38895.0
Yale,5,2000,REP,1000.0
Yale,5,2002,DEM,11724.0
Yale,5,2002,REP,3250.0
Yale,5,2004,DEM,69919.0
Yale,5,2004,REP,4250.0
Yale,5,2006,DEM,100955.0
Yale,5,2006,REP,1735.0
Yale,5,2008,DEM,136755.22999999998
Yale,5,2008,REP,28875.0
Yale,5,2010,DEM,101713.0
Yale,5,2010,REP,4586.0
Yale,5,2012,DEM,223680.88
Yale,5,2012,REP,1430.0
Yale,5,2014,DEM,166877.32
Yale,5,2014,REP,1250.0
Yale,5,2016,DEM,227436.38
Yale,5,2016,REP,8489.0
Yale,5,2018,DEM,273270.46
Yale,5,2018,REP,8298.75
Yale,5,2020,DEM,717721.0
Yale,5,2020,REP,12117.28
Yale,5,2022,DEM,463034.25
Yale,5,2022,REP,16306.36
Yale,5,2024,DEM,579611.7
Yale,5,2024,REP,20885.07
Yale,5,2026,DEM,168027.71
Yale,5,2026,REP,2641.18
